,addr1,firstimage2,mapx,mapy,title
0,강원도 강릉시 안반데기1길 203,,128.7400518871,37.6087932748,강릉안반데기관광농원
1,강원도 강릉시 난설헌로 248,http://tong.visitkorea.or.kr/cms/resource/08/2930108_image3_1.JPG,128.915274858,37.7939030514,원더스카이
2,강원도 강릉시 솔올로5번길 51,http://tong.visitkorea.or.kr/cms/resource/37/2925137_image3_1.JPG,128.8770014492,37.7641862993,리고엠
3,강원도 강릉시 해안로604번길 16,http://tong.visitkorea.or.kr/cms/resource/39/2921939_image3_1.jpg,128.8988285332,37.8127616594,사근진해중공원 전망대
4,강원도 강릉시 저동,http://tong.visitkorea.or.kr/cms/resource/65/2900665_image3_1.JPG,128.9002177764,37.7972995865,강릉 3.1운동 기념공원
5,강원도 강릉시 해안로604번길 16,,128.8988285332,37.8127616594,사근진 해중공원 전망대
6,강원도 강릉시 주문진읍 해안로 1730,http://tong.visitkorea.or.kr/cms/resource/01/2785901_image2_1.jpg,128.828660257,37.8895791714,해피아워크루즈
7,강원도 강릉시 남부로 222,,128.9074798939,37.7436587117,강남축구공원
8,강원도 강릉시 사천면 해안로 741-5,,128.8885597849,37.8201661571,순포습지
9,강원도 강릉시 주문진읍 해안로 1993,,128.8272654209,37.9062383246,소돌해수욕장
10,강원도 강릉시 사천면 해안로 722,,128.8902985428,37.8193190673,순포해변
11,강원도 강릉시 주문진읍 해안로 1961-2,http://tong.visitkorea.or.kr/cms/resource/18/2775518_image2_1.jpg,128.8290014171,37.9048940699,소돌항
12,강원도 강릉시 경강로2021번길 9-1 명주예술마당,,128.8903006749,37.7504520359,명주예술마당
13,강원도 강릉시 죽헌동 745,http://tong.visitkorea.or.kr/cms/resource/09/2776909_image2_1.jpg,128.8847557936,37.7807456454,경포생태저류지
14,강원 강릉시 강동면 정동진리 50-9,,129.0415030057,37.6843376312,정동진조각공원
15,강원도 강릉시 사천면 송암골길 197-13,,128.8294713643,37.7976676101,대관령아기동물농장
16,강원도 강릉시 주문진읍 주문북로 222-30,,128.8177855589,37.9114875314,청시행비치
17,강원도 강릉시 옥계면 생골길 64,,129.0405915708,37.6076381352,쌍둥이동물농장
18,강원도 강릉시 왕산면 대기리 2214-98,http://tong.visitkorea.or.kr/cms/resource/28/2776928_image2_1.jpg,128.7413818065,37.6257218996,멍에전망대
19,강원도 강릉시 초당동 459-28,http://tong.visitkorea.or.kr/cms/resource/88/2773888_image2_1.jpg,128.9086892141,37.7979885609,경포플라워가든
20,강원도 강릉시 난설헌로193번길 1-29,,128.9095810141,37.7910865997,허균·허난설헌 기념공원
21,강원도 강릉시 사천면 진리해변길 68-23,,128.8782046462,37.8368418022,사천진항
22,강원도 강릉시 강동면 헌화로 648-8,,129.0533302954,37.665765007,심곡항
23,강원도 강릉시 연곡면 부연동길 964,,128.6404970577,37.8780657396,부연약수
24,강원도 강릉시 옥계면 금진리,,129.0518502796,37.6526359384,금진항
25,강원 강릉시 노암동 200-4,http://tong.visitkorea.or.kr/cms/resource/08/2750608_image3_1.jpg,128.9071992254,37.7481081912,노암터널
26,강원도 강릉시 한밭골길 50-11,http://tong.visitkorea.or.kr/cms/resource/91/2750591_image3_1.jpg,128.8643296445,37.7875861221,르꼬따쥬
27,강원도 강릉시 창해로14번길 55-11,,128.9517472703,37.7714035891,강릉항
28,강원도 강릉시 강동면 안인진리 316,,128.9902476959,37.7354807183,안인항
29,강원도 강릉시 사천면 해안로 1119-51,,128.8656527627,37.8444934488,호린파크(경포대허브농장)
30,강원도 강릉시 강문동 248-4,,128.9167801561,37.797830404,강문솟대다리
31,강원도 강릉시 운정동,,128.8986792689,37.7894615748,경포가시연습지
32,강원도 강릉시 옥계면 주수리 558,,129.058867338,37.6195898908,옥계항
33,강원도 강릉시 강동면 심곡리 162,http://tong.visitkorea.or.kr/cms/resource/55/2716655_image3_1.jpg,129.0548163443,37.663465302,헌화로
34,강원도 강릉시 옥계면 산계리 산 428,,128.9067933984,37.5777112048,석병산
35,강원도 강릉시 왕산면 안반데기길 428,http://tong.visitkorea.or.kr/cms/resource/13/2775913_image3_1.jpg,128.7398181521,37.62264167,안반데기 마을
36,강원도 강릉시 사천면 미노길 103,,128.8486187421,37.8266201867,수상한마법학교
37,강원도 강릉시 견소동,,128.9451477738,37.7743308995,강릉 안목해맞이공원
38,강원도 강릉시 남부로125번길 18,,128.8935561515,37.7435306776,기린사우나
39,강원도 강릉시 강릉대로210번길 23-9,,128.894030712,37.7563569809,오규환 가옥
40,강원도 강릉시 난설헌로 131,http://tong.visitkorea.or.kr/cms/resource/69/2687969_image3_1.jpg,128.9079034181,37.79008946,경포 아쿠아리움
41,강원도 강릉시 사천면 해안로 1107,http://tong.visitkorea.or.kr/cms/resource/80/2688080_image3_1.jpg,128.8669136848,37.846918193,보헤미안 박이추커피
42,강원도 강릉시 사천면 청솔공원길 108,,128.8370445153,37.8353717256,뒷뜨루관광농원
43,강원도 강릉시 주문진읍 향호리,,128.8170522589,37.9125457281,주문진읍 BTS 앨범사진 촬영지 (버스정류장)
44,강원도 강릉시 명주동,http://tong.visitkorea.or.kr/cms/resource/20/2688020_image3_1.jpg,128.8927254362,37.7511381142,강릉 명주동 거리
45,강원도 강릉시 경강로 1961,http://tong.visitkorea.or.kr/cms/resource/40/2499740_image3_1.jpg,128.8844734896,37.7482771734,버드나무 브루어리
46,강원도 강릉시 난설헌로193번길 1-16,http://tong.visitkorea.or.kr/cms/resource/90/2368690_image3_1.jpg,128.909675424,37.791928171,허난설헌 솔숲
47,강원도 강릉시 난설헌로193번길 1-16,http://tong.visitkorea.or.kr/cms/resource/17/217417_image3_1.jpg,128.909675424,37.791928171,허난설헌 생가터
48,강원도 강릉시 강동면 정동역길 17,http://tong.visitkorea.or.kr/cms/resource/09/2713709_image2_1.jpg,129.0327146846,37.6914949653,정동진역
49,강원도 강릉시 임영로131번길 6,http://tong.visitkorea.or.kr/cms/resource/69/2368669_image3_1.jpg,128.8921226461,37.7532767444,강릉 대도호부 관아
50,강원도 강릉시 금성로11번길 9,,128.8974470859,37.7559015445,강릉 월화거리
51,강원도 강릉시 성산면 대관령옛길 127-42,http://tong.visitkorea.or.kr/cms/resource/71/2554071_image2_1.jpg,128.7987935679,37.7077413074,국립대관령치유의숲
52,강원도 강릉시 강동면 둔지길 81,,128.9558541452,37.7168821954,정감이마을
